country_type,Country,League,Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA
Main,Scotland,Division 3,2003/2004,04/10/03,Gretna,Montrose,1,1,D,1,1,D,1.8,3.5,3.5,1.8,3.5,3.5,999,999,999,1.727,3.5,3.75,999,999,999,1.8,3.5,3.5,1.8,3.6,3.4
Main,Scotland,Division 3,2003/2004,04/10/03,Queens Park,Peterhead,0,2,A,0,2,A,2.5,3.5,2.25,2.5,3.5,2.25,999,999,999,2.5,3.5,2.25,999,999,999,2.5,3.5,2.25,2.6,3.4,2.25
Main,Scotland,Division 3,2003/2004,04/10/03,Stirling,Elgin,3,0,H,2,0,H,1.44,3.75,6,1.5,3.75,5,999,999,999,1.4,4.333,5.5,999,999,999,1.5,3.75,5,1.44,3.75,6
Main,Scotland,Division 3,2003/2004,11/10/03,Stirling,Montrose,3,0,H,2,0,H,1.36,4,7,1.4,4.3,5.5,999,999,999,1.36,4.33,6.5,999,999,999,1.36,4.2,6.5,1.4,3.75,7
Main,Scotland,Division 3,2003/2004,18/10/03,East Stirling,Gretna,0,1,A,0,0,D,4.33,3.6,1.61,3.9,3.7,1.67,999,999,999,4.5,3.5,1.615,999,999,999,4,3.6,1.66,4.33,3.6,1.61
Main,Scotland,Division 3,2003/2004,18/10/03,Elgin,Albion Rvs,1,5,A,1,2,A,3.2,3.5,1.9,2.9,3.5,2,999,999,999,2.5,3.5,2.25,999,999,999,2.6,3.5,2.2,3.1,3.6,1.9
Main,Scotland,Division 3,2003/2004,18/10/03,Montrose,Stirling,2,3,A,0,2,A,4.33,3.6,1.61,3.7,3.6,1.73,999,999,999,4,3.6,1.667,999,999,999,3.75,3.6,1.72,4.5,3.75,1.57
Main,Scotland,Division 3,2003/2004,18/10/03,Peterhead,Cowdenbeath,0,1,A,0,0,D,1.61,3.6,4.33,1.62,3.7,4.2,999,999,999,1.615,3.5,4.5,999,999,999,1.61,3.75,4.2,1.72,3.6,3.75
Main,Scotland,Division 3,2003/2004,18/10/03,Stranraer,Queens Park,1,0,H,0,0,D,1.66,3.6,4,1.67,3.7,3.9,999,999,999,1.727,3.5,3.75,999,999,999,1.66,3.6,4,1.66,3.6,4
Main,Scotland,Division 3,2003/2004,25/10/03,Albion Rvs,Cowdenbeath,1,2,A,0,0,D,1.83,3.5,3.4,1.8,3.6,3.4,999,999,999,1.727,3.75,3.5,999,999,999,1.8,3.6,3.4,1.8,3.6,3.4
Main,Scotland,Division 3,2003/2004,25/10/03,Elgin,Queens Park,2,2,D,1,0,H,2.37,3.5,2.37,2.45,3.5,2.3,999,999,999,2.5,3.5,2.25,999,999,999,2.5,3.5,2.3,2.5,3.6,2.25
Main,Scotland,Division 3,2003/2004,25/10/03,Gretna,Peterhead,3,2,H,0,1,A,2.37,3.5,2.37,2.4,3.5,2.35,999,999,999,2.375,3.5,2.375,999,999,999,2.37,3.5,2.37,2.5,3.4,2.3
Main,Scotland,Division 3,2003/2004,25/10/03,Montrose,East Stirling,5,1,H,1,1,D,1.61,3.6,4.33,1.63,3.6,4.3,999,999,999,1.571,3.75,4.5,999,999,999,1.66,3.5,4.33,1.8,3.5,3.5
Main,Scotland,Division 3,2003/2004,25/10/03,Stirling,Stranraer,1,0,H,1,0,H,1.9,3.5,3.2,1.9,3.5,3.2,999,999,999,1.727,3.5,3.75,999,999,999,1.9,3.5,3.2,1.9,3.6,3.1
Main,Scotland,Division 3,2003/2004,01/11/03,Cowdenbeath,Stirling,2,0,H,0,0,D,3.2,3.5,1.9,3.3,3.5,1.85,999,999,999,3.5,3.75,1.73,999,999,999,3.5,3.5,1.8,3.4,3.6,1.8
Main,Scotland,Division 3,2003/2004,01/11/03,East Stirling,Elgin,3,1,H,1,0,H,3,3.4,2,3.05,3.5,1.95,999,999,999,3.2,3.5,1.91,999,999,999,3.2,3.5,1.91,3.1,3.6,1.9
Main,Scotland,Division 3,2003/2004,01/11/03,Peterhead,Montrose,0,0,D,0,0,D,1.57,3.75,4.5,1.6,3.7,4.33,999,999,999,1.67,3.6,4,999,999,999,1.62,3.6,4.33,1.5,3.8,5
Main,Scotland,Division 3,2003/2004,01/11/03,Queens Park,Gretna,0,1,A,0,0,D,2.5,3.4,2.3,2.4,3.6,2.3,999,999,999,2.5,3.5,2.25,999,999,999,2.38,3.5,2.38,2.62,3.5,2.2
Main,Scotland,Division 3,2003/2004,01/11/03,Stranraer,Albion Rvs,5,0,H,1,0,H,1.9,3.5,3.2,1.9,3.5,3.2,999,999,999,1.8,3.5,3.5,999,999,999,1.91,3.5,3.2,2,3.6,2.87
Main,Scotland,Division 3,2003/2004,08/11/03,East Stirling,Stranraer,1,4,A,1,1,D,6,3.75,1.44,5,3.85,1.5,999,999,999,5.5,3.6,1.5,999,999,999,5.2,3.75,1.5,5.5,4,1.44
Main,Scotland,Division 3,2003/2004,08/11/03,Gretna,Elgin,2,2,D,2,1,H,1.44,3.75,6,1.5,3.85,5,999,999,999,1.533,3.75,5,999,999,999,1.5,3.6,5.5,1.5,3.8,5
Main,Scotland,Division 3,2003/2004,08/11/03,Montrose,Albion Rvs,1,0,H,0,0,D,2.5,3.5,2.25,2.55,3.5,2.25,999,999,999,2.75,3.5,2.1,999,999,999,2.6,3.4,2.25,3.1,3.6,1.9
Main,Scotland,Division 3,2003/2004,08/11/03,Peterhead,Stirling,2,2,D,0,2,A,2.5,3.5,2.25,2.55,3.5,2.25,999,999,999,3,3.4,2,999,999,999,2.6,3.4,2.25,2.75,3.5,2.1
Main,Scotland,Division 3,2003/2004,08/11/03,Queens Park,Cowdenbeath,0,0,D,0,0,D,2.5,3.5,2.25,2.55,3.5,2.25,999,999,999,2.625,3.5,2.2,999,999,999,2.5,3.4,2.3,2.8,3.4,2.1
Main,Scotland,Division 3,2003/2004,14/11/03,Albion Rvs,Gretna,1,3,A,0,1,A,2.37,3.5,2.37,2.4,3.4,2.4,999,999,999,2.38,3.5,2.38,999,999,999,2.38,3.5,2.38,2.38,3.5,2.38
Main,Scotland,Division 3,2003/2004,14/11/03,Cowdenbeath,East Stirling,2,1,H,0,0,D,1.33,4.5,6.5,1.35,4.35,6.3,999,999,999,1.36,4.33,6.5,999,999,999,1.3,4.33,8,1.3,4.33,8
Main,Scotland,Division 3,2003/2004,15/11/03,Elgin,Montrose,2,3,A,1,1,D,2.5,3.4,2.3,2.5,3.4,2.3,999,999,999,2.38,3.5,2.38,999,999,999,2.5,3.4,2.3,2.5,3.4,2.3
Main,Scotland,Division 3,2003/2004,15/11/03,Stirling,Queens Park,1,0,H,0,0,D,1.44,3.75,6,1.45,3.9,5.5,999,999,999,1.44,4,5.5,999,999,999,1.44,4,5.5,1.44,4,5.5
Main,Scotland,Division 3,2003/2004,15/11/03,Stranraer,Peterhead,0,2,A,0,1,A,1.83,3.5,3.4,1.8,3.5,3.5,999,999,999,1.62,4,4,999,999,999,1.8,3.4,3.6,1.8,3.4,3.6
Main,Scotland,Division 3,2003/2004,29/11/03,East Stirling,Peterhead,1,3,A,0,2,A,5,3.8,1.5,4.45,3.7,1.58,999,999,999,4.5,3.75,1.57,999,999,999,4.5,3.75,1.57,5,3.6,1.53
Main,Scotland,Division 3,2003/2004,29/11/03,Elgin,Stranraer,1,3,A,1,2,A,4.33,3.6,1.61,3.9,3.5,1.7,999,999,999,4,3.6,1.67,999,999,999,3.8,3.6,1.7,4.5,3.75,1.57
Main,Scotland,Division 3,2003/2004,02/12/03,Albion Rvs,Stirling,0,3,A,0,3,A,3.2,3.5,1.9,3.45,3.45,1.82,999,999,999,3.75,3.5,1.73,999,999,999,3.5,3.5,1.8,3.4,3.5,1.83
Main,Scotland,Division 3,2003/2004,02/12/03,Gretna,Cowdenbeath,1,0,H,1,0,H,2,3.4,3,999,999,999,999,999,999,2.1,3.5,2.75,999,999,999,2.2,3.4,2.62,2.25,3.4,2.6
Main,Scotland,Division 3,2003/2004,02/12/03,Montrose,Queens Park,0,0,D,0,0,D,2,3.6,2.87,1.93,3.4,3.15,999,999,999,1.91,3.5,3.2,999,999,999,1.91,3.5,3.2,2.1,3.5,2.75
Main,Scotland,Division 3,2003/2004,06/12/03,Cowdenbeath,Elgin,3,2,H,2,1,H,1.53,3.75,4.75,1.53,3.7,5.25,999,999,999,1.571,3.75,4.5,999,999,999,1.53,3.6,5,1.5,3.6,5.5
Main,Scotland,Division 3,2003/2004,06/12/03,Peterhead,Albion Rvs,2,1,H,2,0,H,1.61,3.6,4.33,1.62,3.65,4.5,999,999,999,1.667,3.6,4,999,999,999,1.6,3.6,4.5,1.61,3.6,4.33
Main,Scotland,Division 3,2003/2004,06/12/03,Queens Park,East Stirling,3,0,H,2,0,H,1.57,3.75,4.5,1.53,3.75,5,999,999,999,1.444,4,5.5,999,999,999,1.5,3.75,5.25,1.5,3.8,5
Main,Scotland,Division 3,2003/2004,06/12/03,Stirling,Gretna,0,1,A,0,1,A,1.72,3.6,3.75,1.7,3.6,4,999,999,999,1.727,3.5,3.75,999,999,999,1.66,3.6,4,1.72,3.6,3.75
Main,Scotland,Division 3,2003/2004,06/12/03,Stranraer,Montrose,2,0,H,1,0,H,1.61,3.6,4.33,1.7,3.6,4,999,999,999,1.667,3.6,4,999,999,999,1.66,3.6,4,1.61,3.75,4.2
Main,Scotland,Division 3,2003/2004,13/12/03,East Stirling,Albion Rvs,3,4,A,2,2,D,3.75,3.6,1.727,3.3,3.5,1.85,999,999,999,3.5,3.5,1.8,999,999,999,3.4,3.5,1.83,3.8,3.75,1.66
Main,Scotland,Division 3,2003/2004,13/12/03,Elgin,Stirling,0,2,A,0,1,A,6,3.75,1.444,5.5,3.75,1.47,999,999,999,5,3.75,1.533,999,999,999,5,3.8,1.5,5.5,4,1.44
Main,Scotland,Division 3,2003/2004,13/12/03,Montrose,Gretna,2,0,H,2,0,H,3.2,3.5,1.909,3.2,3.5,1.9,999,999,999,3,3.4,2,999,999,999,3.2,3.4,1.9,3.4,3.6,1.8
Main,Scotland,Division 3,2003/2004,13/12/03,Peterhead,Queens Park,4,1,H,2,0,H,1.571,3.75,4.5,1.57,3.7,4.5,999,999,999,1.667,3.6,4,999,999,999,1.61,3.6,4.33,1.57,3.75,4.5
Main,Scotland,Division 3,2003/2004,13/12/03,Stranraer,Cowdenbeath,2,0,H,1,0,H,1.667,3.6,4,1.65,3.6,4.1,999,999,999,1.8,3.5,3.5,999,999,999,1.66,3.6,4,1.83,3.6,3.3
Main,Scotland,Division 3,2003/2004,27/12/03,Cowdenbeath,Peterhead,2,0,H,1,0,H,2.5,3.4,2.3,2.5,3.45,2.3,2.3,3.1,2.3,2.375,3.5,2.375,999,999,999,2.5,3.5,2.25,2.5,3.4,2.3
Main,Scotland,Division 3,2003/2004,27/12/03,Gretna,East Stirling,2,1,H,0,0,D,1.25,5,8,1.22,5,9,1.25,4.5,7,1.222,5,10,999,999,999,1.22,5,8.5,1.2,5.5,9
Main,Scotland,Division 3,2003/2004,03/01/04,Cowdenbeath,Montrose,3,3,D,2,2,D,1.909,3.5,3.2,2,3.4,3,2,3.3,2.7,2,3.4,3,999,999,999,1.9,3.5,3.1,2.1,3.5,2.75
Main,Scotland,Division 3,2003/2004,03/01/04,Peterhead,Elgin,5,1,H,1,1,D,1.333,4.5,6.5,1.35,4.25,6.5,1.35,4,5.5,1.364,4.333,6.5,999,999,999,1.33,4.33,6.5,1.36,4,7
Main,Scotland,Division 3,2003/2004,03/01/04,Queens Park,Albion Rvs,1,1,D,0,0,D,2.3,3.4,2.5,2.3,3.4,2.5,2.2,3.3,2.4,2.25,3.5,2.5,999,999,999,2.25,3.5,2.5,2.37,3.5,2.37
Main,Scotland,Division 3,2003/2004,03/01/04,Stranraer,Gretna,1,2,A,0,1,A,2.1,3.5,2.75,2.1,3.4,2.8,2,3.3,2.7,2.1,3.5,2.75,999,999,999,2.1,3.4,2.75,2.1,3.4,2.8
Main,Scotland,Division 3,2003/2004,10/01/04,East Stirling,Stirling,2,4,A,1,0,H,7,5,1.28,7.3,4.5,1.3,6.5,4.2,1.3,8,4.5,1.29,999,999,999,7.5,4.6,1.29,7.5,4.5,1.3
Main,Scotland,Division 3,2003/2004,10/01/04,Queens Park,Stranraer,0,4,A,0,3,A,4,3.6,1.66,3.7,3.5,1.75,3.4,3.3,1.75,3.4,3.5,1.83,999,999,999,3.75,3.6,1.73,4,3.6,1.66
Main,Scotland,Division 3,2003/2004,17/01/04,Elgin,East Stirling,3,0,H,2,0,H,1.61,3.6,4.33,1.7,3.5,4,1.7,3.4,3.5,1.67,3.6,4,999,999,999,1.67,3.5,4,1.8,3.5,3.5
Main,Scotland,Division 3,2003/2004,17/01/04,Gretna,Queens Park,0,1,A,0,0,D,1.53,4,4.5,1.5,3.8,5,1.5,3.6,4.4,1.44,4,5.5,999,999,999,1.5,3.75,5,1.5,3.8,5
Main,Scotland,Division 3,2003/2004,17/01/04,Montrose,Peterhead,2,1,H,1,0,H,2.75,3.5,2.1,2.65,3.4,2.2,2.5,3.1,2.2,2.5,3.5,2.25,999,999,999,2.6,3.4,2.2,2.62,3.5,2.2
Main,Scotland,Division 3,2003/2004,17/01/04,Stirling,Cowdenbeath,1,1,D,0,0,D,1.57,3.75,4.5,1.6,3.75,4.25,1.6,3.4,3.9,1.57,3.75,4.5,999,999,999,1.53,3.75,4.6,1.61,3.75,4.2
